K,Dimension,Number of Points,Time,Distribution
9,3,100,4.39357e-05,Uniform
10,3,100,4.57165e-05,Uniform
11,3,100,4.74149e-05,Uniform
1,3,200,2.19903e-05,Uniform
2,3,200,2.77664e-05,Uniform
3,3,200,3.41939e-05,Uniform
4,3,200,4.27486e-05,Uniform
5,3,200,5.1453e-05,Uniform
6,3,200,5.60337e-05,Uniform
7,3,200,5.97787e-05,Uniform
8,3,200,6.68519e-05,Uniform
9,3,200,7.36683e-05,Uniform
10,3,200,7.73646e-05,Uniform
11,3,200,8.25747e-05,Uniform
1,3,400,2.62056e-05,Uniform
2,3,400,3.8611e-05,Uniform
3,3,400,4.98959e-05,Uniform
4,3,400,6.14255e-05,Uniform
5,3,400,7.18243e-05,Uniform
6,3,400,8.16492e-05,Uniform
7,3,400,9.02717e-05,Uniform
8,3,400,0.000101668,Uniform
9,3,400,0.000112086,Uniform
10,3,400,0.000116574,Uniform
11,3,400,0.000125422,Uniform
1,3,800,3.73887e-05,Uniform
2,3,800,5.18874e-05,Uniform
3,3,800,6.34721e-05,Uniform
4,3,800,7.87994e-05,Uniform
5,3,800,9.38031e-05,Uniform
6,3,800,0.000102229,Uniform
7,3,800,0.000111441,Uniform
8,3,800,0.000126095,Uniform
9,3,800,0.000137951,Uniform
10,3,800,0.000145041,Uniform
11,3,800,0.000156283,Uniform
1,3,1600,5.0357e-05,Uniform
2,3,1600,7.28706e-05,Uniform
3,3,1600,8.92795e-05,Uniform
4,3,1600,0.0001118,Uniform
5,3,1600,0.000129882,Uniform
6,3,1600,0.000143117,Uniform
7,3,1600,0.000160412,Uniform
8,3,1600,0.000180778,Uniform
9,3,1600,0.000199936,Uniform
10,3,1600,0.000207302,Uniform
11,3,1600,0.00022264,Uniform
1,3,3200,7.2804e-05,Uniform
2,3,3200,9.97017e-05,Uniform
3,3,3200,0.000125304,Uniform
4,3,3200,0.000158285,Uniform
5,3,3200,0.000188585,Uniform
6,3,3200,0.000207048,Uniform
7,3,3200,0.000228987,Uniform
